,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
208,Bangladesh Vs Zimbabwe,Bangladesh,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
209,Bangladesh Vs Zimbabwe,Zimbabwe,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0
210,Bangladesh Vs Zimbabwe,Zimbabwe,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0
211,Bangladesh Vs Zimbabwe,Zimbabwe,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1
212,Bangladesh Vs Zimbabwe,Zimbabwe,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0
213,Bangladesh Vs Zimbabwe,Zimbabwe,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0
214,New Zealand Vs Sri Lanka,New Zealand,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
215,New Zealand Vs Sri Lanka,New Zealand,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
216,New Zealand Vs Sri Lanka,New Zealand,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
217,New Zealand Vs Sri Lanka,New Zealand,Wanindu Hasaranga,4,0,22,1,5.50,9,1,0,0,0
218,New Zealand Vs Sri Lanka,New Zealand,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
219,New Zealand Vs Sri Lanka,New Zealand,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
220,New Zealand Vs Sri Lanka,Sri Lanka,Tim Southee,4,1,12,1,3.00,18,0,1,1,0
221,New Zealand Vs Sri Lanka,Sri Lanka,Trent Boult,4,0,13,4,3.25,18,1,0,1,0
222,New Zealand Vs Sri Lanka,Sri Lanka,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0
223,New Zealand Vs Sri Lanka,Sri Lanka,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0
224,New Zealand Vs Sri Lanka,Sri Lanka,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0
225,Zimbabwe Vs Pakistan,Zimbabwe,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
226,Zimbabwe Vs Pakistan,Zimbabwe,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
227,Zimbabwe Vs Pakistan,Zimbabwe,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
228,Zimbabwe Vs Pakistan,Zimbabwe,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
229,Zimbabwe Vs Pakistan,Zimbabwe,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
230,Zimbabwe Vs Pakistan,Pakistan,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0
231,Zimbabwe Vs Pakistan,Pakistan,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0
232,Zimbabwe Vs Pakistan,Pakistan,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
233,Zimbabwe Vs Pakistan,Pakistan,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
234,Zimbabwe Vs Pakistan,Pakistan,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0
235,Zimbabwe Vs Pakistan,Pakistan,Sean Williams,2,0,15,0,7.50,1,0,0,1,0
236,Zimbabwe Vs Pakistan,Pakistan,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0
237,India Vs Netherlands,India,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
238,India Vs Netherlands,India,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
239,India Vs Netherlands,India,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
240,India Vs Netherlands,India,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
241,India Vs Netherlands,India,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
242,India Vs Netherlands,India,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
243,India Vs Netherlands,Netherlands,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0
244,India Vs Netherlands,Netherlands,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
245,India Vs Netherlands,Netherlands,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
246,India Vs Netherlands,Netherlands,Axar Patel,4,0,18,2,4.50,11,0,0,0,0
247,India Vs Netherlands,Netherlands,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0
248,India Vs Netherlands,Netherlands,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
249,South Africa Vs Bangladesh,South Africa,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
250,South Africa Vs Bangladesh,South Africa,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
251,South Africa Vs Bangladesh,South Africa,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0
252,South Africa Vs Bangladesh,South Africa,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
253,South Africa Vs Bangladesh,South Africa,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0
254,South Africa Vs Bangladesh,South Africa,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
255,South Africa Vs Bangladesh,South Africa,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
256,South Africa Vs Bangladesh,Bangladesh,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0
257,South Africa Vs Bangladesh,Bangladesh,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0
258,South Africa Vs Bangladesh,Bangladesh,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
259,South Africa Vs Bangladesh,Bangladesh,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0
260,South Africa Vs Bangladesh,Bangladesh,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0
261,Ireland Vs England,Ireland,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0
262,Ireland Vs England,Ireland,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0
